id,era_order,era_name,birth_year_band,birth_year_start,birth_year_end,field,gender,nationality_region,nationality
古代前期__自然哲学__古代ギリシア__0001,1,古代前期,紀元前400–紀元前1,-400,-1,自然哲学,男性,東地中海,古代ギリシア
古代後期__天文学・宇宙論__アレクサンドリア・エジプト圏__0001,2,古代後期,1–499,1,499,天文学・宇宙論,女性,北アフリカ,アレクサンドリア・エジプト圏
中世前期__数学・幾何学__イスラム世界__0001,3,中世前期,500–999,500,999,数学・幾何学,男性,西アジア,イスラム世界
中世後期__暦法・観測学__宋元中国圏__0001,4,中世後期,1000–1399,1000,1399,暦法・観測学,女性,東アジア,宋元中国圏
ルネサンス・初期近世__光学__イタリア諸邦__0001,5,ルネサンス・初期近世,1400–1599,1400,1599,光学,男性,西欧,イタリア諸邦
近世前期__力学__イングランド__0001,6,近世前期,1600–1699,1600,1699,力学,女性,西欧,イングランド
近世後期__熱学・統計物理__フランス__0001,7,近世後期,1700–1799,1700,1799,熱学・統計物理,男性,西欧,フランス
近代前期__電磁気学__ドイツ__0001,8,近代前期,1800–1849,1800,1849,電磁気学,女性,西欧,ドイツ
近代後期__実験物理__日本__0001,9,近代後期,1850–1899,1850,1899,実験物理,男性,東アジア,日本
現代前期__理論物理__米国__0001,10,現代前期,1900–1949,1900,1949,理論物理,女性,北米,米国
現代中期__原子核物理__ソ連・ロシア__0001,11,現代中期,1950–1979,1950,1979,原子核物理,男性,東欧,ソ連・ロシア
現代後期__量子情報・量子技術__中国__0001,12,現代後期,1980–1999,1980,1999,量子情報・量子技術,女性,東アジア,中国
現代最年少__計算物理__インド__0001,13,現代最年少,2000–2009,2000,2009,計算物理,男性,南アジア,インド
