id,名前,姓,名,ナマエ,セイ,メイ
古代前期__光学__ローマ共和政・帝政圏__0001,Livia Clarina,Livia,Clarina,リウィア クラリナ,リウィア,クラリナ
古代前期__光学__戦国・秦漢中国圏__0001,荀昭華,荀,昭華,ジュン ショウカ,ジュン,ショウカ
古代前期__光学__古代ギリシア__0001,Phoebe Kalliste,Phoebe,Kalliste,フォイベ カリステ,フォイベ,カリステ
古代前期__光学__アケメネス朝・ペルシア圏__0001,Armina Barzduft,Barzduft,Armina,アルミナ バルズドフト,バルズドフト,アルミナ
古代前期__光学__古代インド圏__0001,Vishvavara Jyotir,Vishvavara,Jyotir,ヴィシュヴァヴァラ ジョーティル,ヴィシュヴァヴァラ,ジョーティル
古代前期__光学__ローマ共和政・帝政圏__0002,Gaius Luminaris,Luminaris,Gaius,ガイウス・ルミナリス,ルミナリス,ガイウス
古代前期__光学__戦国・秦漢中国圏__0002,趙光珉,趙,光珉,チョウ コウミン,チョウ,コウミン
古代前期__光学__古代ギリシア__0002,Damosthenes Theon,Damosthenes,Theon,ダモステネス テオン,ダモステネス,テオン
古代前期__力学__ヘレニズム圏__0001,Alexias Dorieus,Dorieus,Alexias,アレクシアス ドリエウス,ドリエウス,アレクシアス
古代前期__力学__ローマ共和政・帝政圏__0001,Valeria Camilla,Valeria,Camilla,ヴァレリア カミッラ,ヴァレリア,カミッラ
古代前期__力学__戦国・秦漢中国圏__0001,藺茵,藺,茵,リン イン,リン,イン
古代前期__力学__ヘレニズム圏__0002,Eudora Callias,Callias,Eudora,ユードラ カリアス,カリアス,ユードラ
古代前期__力学__古代ギリシア__0001,Thalia Krateia,Krateia,Thalia,タリア クラティア,クラティア,タリア
古代前期__力学__古代インド圏__0001,Vasudha Mitra,Mitra,Vasudha,ヴァスダ ミトラ,ミトラ,ヴァスダ
古代前期__力学__ローマ共和政・帝政圏__0002,Marcus Flavianus,Flavianus,Marcus,マルクス フラウィアヌス,フラウィアヌス,マルクス
古代前期__力学__戦国・秦漢中国圏__0002,劉則功,劉,則功,リュウ ソクコウ,リュウ,ソクコウ
古代前期__力学__ヘレニズム圏__0003,Nicomedes Theron,Nicomedes,Theron,ニコメデス テロン,ニコメデス,テロン
古代前期__力学__古代ギリシア__0002,Thericles Diokles,Diokles,Thericles,セリクレス ディオクレス,ディオクレス,セリクレス
古代前期__天文学・宇宙論__古代エジプト__0001,Neferka Anpu,Neferka,Anpu,ネフェルカ アンプ,ネフェルカ,アンプ
古代前期__天文学・宇宙論__古代エジプト__0002,Meritnebti Mesktet,Mesktet,Meritnebti,メリトネブティ メスクテト,メスクテト,メリトネブティ
古代前期__天文学・宇宙論__古代インド圏__0001,Vasundhara Aryamitra,Aryamitra,Vasundhara,ヴァスンドハラ アリヤミトラ,アリヤミトラ,ヴァスンドハラ
