id,era_order,era_name,field,gender,nationality_region,nationality,full_name,last_name,first_name,full_name_reading,last_name_reading,first_name_reading,birth_year,death_year,research_summary,portrait_path,portrait_exists
古代前期__自然哲学__古代ギリシア__0001,1,古代前期,自然哲学,男性,東地中海,古代ギリシア,エウクラテス,,エウクラテス,エウクラテス,,エウクラテス,紀元前4世紀後半頃,紀元前320年頃,自然界の四元素説とその変容過程に関する哲学的考察,data/sample/era_only_13/portraits/古代前期__自然哲学__古代ギリシア__0001.png,True
古代後期__天文学・宇宙論__アレクサンドリア・エジプト圏__0001,2,古代後期,天文学・宇宙論,女性,北アフリカ,アレクサンドリア・エジプト圏,セレーネ・バクトリス,セレーネ,バクトリス,セレーネ・バクトリス,セレーネ,バクトリス,紀元104年頃,紀元140年頃,星辰の運動と季節変化の数学的体系化による宇宙構造の探究,data/sample/era_only_13/portraits/古代後期__天文学・宇宙論__アレクサンドリア・エジプト圏__0001.png,True
中世前期__数学・幾何学__イスラム世界__0001,3,中世前期,数学・幾何学,男性,西アジア,イスラム世界,ナディール・アル＝バラク,アル＝バラク,ナディール,ナディール・アル＝バラク,アル＝バラク,ナディール,10世紀初頭頃,10世紀中頃頃,非ユークリッド的視点を用いた多角形の内角和の理論的拡張,data/sample/era_only_13/portraits/中世前期__数学・幾何学__イスラム世界__0001.png,True
中世後期__暦法・観測学__宋元中国圏__0001,4,中世後期,暦法・観測学,女性,東アジア,宋元中国圏,沈蕙蘭,沈,蕙蘭,シン・ケイラン,シン,ケイラン,宋の建寧年間頃（1119年頃）,不明,実践的天文観測器の改良と暦法の地域差是正に関する考察,data/sample/era_only_13/portraits/中世後期__暦法・観測学__宋元中国圏__0001.png,True
ルネサンス・初期近世__光学__イタリア諸邦__0001,5,ルネサンス・初期近世,光学,男性,西欧,イタリア諸邦,アルビーノ・ディ・ヴェローナ,ディ・ヴェローナ,アルビーノ,アルビーノ・ディ・ヴェローナ,ディ・ヴェローナ,アルビーノ,1411年頃,1468年頃,光の屈折率変化に基づくレンズ設計と視覚拡大理論の構築,data/sample/era_only_13/portraits/ルネサンス・初期近世__光学__イタリア諸邦__0001.png,True
近世前期__力学__イングランド__0001,6,近世前期,力学,女性,西欧,イングランド,Katherine Wycliffe,Wycliffe,Katherine,キャサリン ウィクリフ,ウィクリフ,キャサリン,1650年代頃,1710年代頃,斜面における物体の運動法則の系統的実験検証による摩擦概念の深化,data/sample/era_only_13/portraits/近世前期__力学__イングランド__0001.png,True
近世後期__熱学・統計物理__フランス__0001,7,近世後期,熱学・統計物理,男性,西欧,フランス,ルイ・ヴァラン,ヴァラン,ルイ,ルイ・ヴァラン,ヴァラン,ルイ,1758年頃,1823年頃,蒸気圧と温度分布の統計的関係に基づく熱力学初歩の数学的定式化,data/sample/era_only_13/portraits/近世後期__熱学・統計物理__フランス__0001.png,True
近代前期__電磁気学__ドイツ__0001,8,近代前期,電磁気学,女性,西欧,ドイツ,エミーリエ・クロイツァー,クロイツァー,エミーリエ,エミーリエ・クロイツァー,クロイツァー,エミーリエ,1810年,1876年,電磁誘導の時間依存性と磁力線の空間分布解析,data/sample/era_only_13/portraits/近代前期__電磁気学__ドイツ__0001.png,True
近代後期__実験物理__日本__0001,9,近代後期,実験物理,男性,東アジア,日本,高橋 拓真,高橋,拓真,タカハシ タクマ,タカハシ,タクマ,慶応3年（1867年）頃,昭和12年（1937年）,分光器を用いた金属固有振動数の実験的測定とその電磁理論への応用,data/sample/era_only_13/portraits/近代後期__実験物理__日本__0001.png,True
現代前期__理論物理__米国__0001,10,現代前期,理論物理,女性,北米,米国,Evelyn Marlowe,Marlowe,Evelyn,エヴリン・マー ロウ,マー ロウ,エヴリン,1939年,,場のトポロジー欠陥を用いた非線形量子重力理論の理論構築,data/sample/era_only_13/portraits/現代前期__理論物理__米国__0001.png,True
現代中期__原子核物理__ソ連・ロシア__0001,11,現代中期,原子核物理,男性,東欧,ソ連・ロシア,レオニード・マルチェンコ,マルチェンコ,レオニード,レオニード・マルチェンコ,マルチェンコ,レオニード,1954年,,中性子散乱による超重元素合成過程の物理的特性解明,data/sample/era_only_13/portraits/現代中期__原子核物理__ソ連・ロシア__0001.png,True
現代後期__量子情報・量子技術__中国__0001,12,現代後期,量子情報・量子技術,女性,東アジア,中国,何 慧琳,何,慧琳,カ シュイリン,カ,シュイリン,1982年,,量子通信の耐エラー符号と大規模ネットワークへの応用研究,data/sample/era_only_13/portraits/現代後期__量子情報・量子技術__中国__0001.png,True
現代最年少__計算物理__インド__0001,13,現代最年少,計算物理,男性,南アジア,インド,アニル・スリヴァスタヴァ,スリヴァスタヴァ,アニル,アニル・スリヴァスタヴァ,スリヴァスタヴァ,アニル,2007年,,異種スケール結合による多体系量子シミュレーション手法の創案,data/sample/era_only_13/portraits/現代最年少__計算物理__インド__0001.png,True
